Date,Open,High,Low,Close,Volume
24-07-2020 08:00,9519.22,9519.98,9493.34,9515.65,259.25
24-07-2020 09:00,9515.72,9538.93,9513.26,9536.83,238.08
24-07-2020 10:00,9539.51,9570.17,9534.32,9554.62,302.9
24-07-2020 11:00,9550.01,9555.53,9536.62,9540,227.69
24-07-2020 12:00,9540,9540.77,9507.45,9524.14,504.96
24-07-2020 13:00,9522.53,9550,9513.73,9520,268.26
24-07-2020 14:00,9520,9550,9520,9546.57,282.16
24-07-2020 15:00,9546.57,9576.75,9532.4,9562.73,293.32
24-07-2020 16:00,9562.97,9596,9528.44,9590.54,273.74
24-07-2020 17:00,9590.07,9590.58,9533.74,9569.69,357.85
24-07-2020 18:00,9569.69,9597.14,9564.79,9592.7,578.93
24-07-2020 19:00,9587.85,9596.57,9570.93,9596.57,387.97
24-07-2020 20:00,9594.34,9638.05,9575.83,9626.03,855.14
24-07-2020 21:00,9630,9650.55,9603.08,9610.98,634.22
24-07-2020 22:00,9608.02,9615.24,9537.54,9550,568.2
24-07-2020 23:00,9550,9568.11,9529,9547.91,436.28
25-07-2020 00:00,9549.34,9562.04,9543.54,9545.81,357.15
25-07-2020 01:00,9545.81,9582.16,9532.79,9576.53,260.27
25-07-2020 02:00,9573.83,9587.38,9561.94,9572.95,253.03
25-07-2020 03:00,9577.62,9628.58,9570.06,9584.45,133.42
25-07-2020 04:00,9583.52,9598.61,9568.62,9590.89,102.96
25-07-2020 05:00,9585.88,9634.36,9573.74,9594.42,119.11
25-07-2020 06:00,9591.54,9677.01,9590,9596.98,250.64
25-07-2020 07:00,9594.35,9604.29,9571.63,9577.81,168.52
25-07-2020 08:00,9577.81,9617.04,9571.99,9600.01,154.11
25-07-2020 09:00,9594.64,9611.59,9580.46,9580.46,131.81
25-07-2020 10:00,9582.77,9594.12,9568.11,9590.05,169.24
25-07-2020 11:00,9586.59,9603.32,9582.89,9585.01,89.94
25-07-2020 12:00,9588.39,9620,9582.7,9617.25,91.13
25-07-2020 13:00,9614.69,9622.81,9566,9592.83,177.32
25-07-2020 14:00,9592.83,9604.35,9576.85,9593.3,92.86
25-07-2020 15:00,9593.3,9609,9585,9600.4,102.5
25-07-2020 16:00,9600.97,9645.93,9587.88,9633.25,139.48
25-07-2020 17:00,9628.16,9726.6,9621.55,9714.21,619.55
25-07-2020 18:00,9717.6,9727.27,9648.87,9680.7,228.81
25-07-2020 19:00,9677.53,9699.6,9660,9683.1,104.04
25-07-2020 20:00,9683.19,9751.82,9682.45,9726.43,277.91
25-07-2020 21:00,9727.42,9749.84,9686.51,9704.4,436.25
25-07-2020 22:00,9699.54,9718,9689.11,9715,315.87
25-07-2020 23:00,9710.26,9735,9675.53,9710.98,289.56
26-07-2020 00:00,9712.45,9712.45,9672,9693.76,186.6
26-07-2020 01:00,9687.92,9697.39,9657,9670.28,114.58
26-07-2020 02:00,9670.28,9690,9660.37,9681.72,58.36
26-07-2020 03:00,9679.21,9691.36,9674.52,9684.78,132.32
26-07-2020 04:00,9684.78,9691.15,9669.1,9678.35,97.06
26-07-2020 05:00,9675.54,9697.56,9672.04,9685.54,76.96
26-07-2020 06:00,9685.54,9709.37,9680.13,9705.48,72.64
26-07-2020 07:00,9705.49,9735.5,9694.99,9720.58,177.32
26-07-2020 08:00,9721.82,9809.3,9710.34,9787.57,399.01
26-07-2020 09:00,9778.48,9859.63,9758.55,9850.37,982.41
26-07-2020 10:00,9852.11,10200,9852.11,10016.94,3580.78
26-07-2020 11:00,10012.77,10019.79,9957.5,9985.6,370.14
26-07-2020 12:00,9985.59,10003.93,9822.01,9886.78,501.27
26-07-2020 13:00,9886.78,9939.6,9877.24,9894.89,170.53
26-07-2020 14:00,9897.26,9965.37,9886.12,9955.84,274.83
26-07-2020 15:00,9956.73,9993.4,9915.8,9968.56,159.19
26-07-2020 16:00,9968.64,9998.1,9904.3,9905.09,231.7
26-07-2020 17:00,9902.76,9936.79,9897,9914.81,157.54
26-07-2020 18:00,9913.49,9939.74,9880,9923.67,142.19
26-07-2020 19:00,9923.63,9929.87,9851.08,9873.29,358.34
26-07-2020 20:00,9872.55,9900,9844,9898.63,426.04
26-07-2020 21:00,9894.8,9919.4,9873.57,9882.43,148.32
26-07-2020 22:00,9886.57,9951.41,9886.1,9929.11,225.2
26-07-2020 23:00,9930.89,9944.65,9908.73,9944.65,46.89
27-07-2020 00:00,9941.25,10053.52,9933.77,9982.79,289.77
27-07-2020 01:00,9989.37,10125,9986.7,10094.35,732.07
27-07-2020 02:00,10094.99,10095.82,10040.52,10064.65,354.79
27-07-2020 03:00,10062.09,10340.48,10059.86,10261.27,2019.82
27-07-2020 04:00,10271.1,10324.09,10181.14,10214.16,1064.86
27-07-2020 05:00,10219.11,10330,10205,10300.14,764.34
27-07-2020 06:00,10294.69,10316.54,10224.58,10285.32,438.37
27-07-2020 07:00,10282.78,10282.78,10150,10168.64,1173.43
27-07-2020 08:00,10172.4,10193.89,10130,10178.65,695.31
27-07-2020 09:00,10178.65,10276.23,10162.67,10263.24,662.41
27-07-2020 10:00,10262.52,10300,10220,10273.01,648.06
27-07-2020 11:00,10273.05,10350,10214.09,10265.58,788.37
27-07-2020 12:00,10268.11,10330.97,10234.01,10301.35,1165.66
27-07-2020 13:00,10301.35,10397,10260.45,10372.46,1563.06
27-07-2020 14:00,10364.55,10455.13,10310.81,10431.15,1459
27-07-2020 15:00,10431.14,10436.78,10275,10317.76,1179.96
27-07-2020 16:00,10319.11,10783,10314.31,10734.62,2026.48
27-07-2020 17:00,10731.16,10956.83,10450,10885.06,2475.61
27-07-2020 18:00,10884.92,10921.01,10752.62,10850.67,1712.47
27-07-2020 19:00,10849.67,10858.89,10732.79,10799.11,731.32
27-07-2020 20:00,10803.84,10899,10793.88,10889.02,371.02
27-07-2020 21:00,10888.98,11190,10829.79,11129.42,999.41
27-07-2020 22:00,11123.5,11417.11,11075.38,11247.84,2084.34
27-07-2020 23:00,11234.79,11234.79,10816.38,11046.19,2336.9
28-07-2020 00:00,11049.4,11263.85,11043.61,11179.61,736.83
28-07-2020 01:00,11179.6,11260.4,11129.49,11212.19,686.55
28-07-2020 02:00,11210.01,11210.01,10971.2,10993.17,559.03
28-07-2020 03:00,10994.27,10999.1,10857.89,10986.82,755.39
28-07-2020 04:00,10983.61,11063.68,10957.88,11063.68,297.34
28-07-2020 05:00,11057.08,11060.74,10821.72,10892.81,617.55
28-07-2020 06:00,10893.37,11010.73,10853.43,10946.57,654.24
28-07-2020 07:00,10945.71,11006.67,10853.41,10891.38,673.45
28-07-2020 08:00,10888.2,10914.57,10719.92,10735,1053.17
28-07-2020 09:00,10735.23,10825.58,10719.92,10784.27,924.86
28-07-2020 10:00,10777.31,10823.3,10583.48,10815.18,1431.25
28-07-2020 11:00,10823.3,11035.67,10802.95,10988.48,848.33
28-07-2020 12:00,10998.51,11066.19,10895.5,10989.56,994.52
28-07-2020 13:00,10999.67,11045.58,10919.99,10994.33,850.57
28-07-2020 14:00,10994.33,11190,10968.79,11190,1053.73
28-07-2020 15:00,11189.47,11199.74,11100,11167.81,881.77
28-07-2020 16:00,11172.04,11190.88,10892.53,10980.23,1358.28
28-07-2020 17:00,10974.47,11046.1,10921.12,10951.71,307.74
28-07-2020 18:00,10953.84,10976.32,10862.32,10938.32,520.82
28-07-2020 19:00,10932.83,11013.21,10877.41,11007.76,266.69
28-07-2020 20:00,11013.9,11029.4,10959.01,10977.01,209.85
28-07-2020 21:00,10977.2,11072.82,10977.2,11024.12,716.1
28-07-2020 22:00,11014.85,11046.91,10882.02,10964.01,591.82
28-07-2020 23:00,10965.66,10995.08,10918.69,10939.27,72.5
29-07-2020 00:00,10931.91,10995.08,10892.53,10894.77,203.92
29-07-2020 01:00,10891.74,10922.1,10855.81,10911.94,257.81
29-07-2020 02:00,10906.38,10949.26,10891.84,10911.78,216.05
29-07-2020 03:00,10918.23,11010.73,10917.34,10983.94,265.25
29-07-2020 04:00,10991.55,11006.61,10934.23,10948.72,117.62
29-07-2020 05:00,10953.95,11004.41,10929.25,10959.47,286.45
29-07-2020 06:00,10960,11082.68,10943.96,11079.47,343.22
29-07-2020 07:00,11074.54,11080.87,11009,11026.43,216.85
29-07-2020 08:00,11023.95,11139.45,11022.36,11131.08,300.83
29-07-2020 09:00,11139.45,11149.06,10941,11033.3,1106.68
29-07-2020 10:00,11030,11059.55,10986.82,11055.45,511.83
29-07-2020 11:00,11053.44,11109.89,11019.81,11100.26,452.04
29-07-2020 12:00,11090.85,11153.02,11070.35,11111,469.58
